species,FID,Lat,Long,Pop
Melaleuca quinquenervia,NSW1074453,-33.2792015,151.5552973,p0c317820
Melaleuca quinquenervia,NSW1074324,-33.2802966,151.5553762,p0c317820
Melaleuca quinquenervia,NSW1074324,-33.2845166,151.5521833,p0c317820
Melaleuca quinquenervia,NSW1079672,-33.2845166,151.5521833,p0c317820
Melaleuca quinquenervia,NSW1079677,-33.28459471,151.552218,p0c317820
Melaleuca quinquenervia,NSW1079682,-33.28602382,151.551742,p0c317820
Melaleuca quinquenervia,NSW1079680,-33.28603172,151.5517433,p0c317820
Melaleuca quinquenervia,NSW1079681,-33.28357552,151.5522239,p0c317820
Melaleuca quinquenervia,NSW1079671,-33.28463505,151.5516779,p0c317820
Melaleuca quinquenervia,NSW1079670,-33.28465949,151.5516915,p0c317820
Melaleuca quinquenervia,NSW1074433,-33.28540365,151.5515136,p0c317820
Melaleuca quinquenervia,NSW1079653,-33.20286067,151.5474484,pd135bc30
Melaleuca quinquenervia,NSW1079654,-33.20289403,151.5474202,pd135bc30
Melaleuca quinquenervia,NSW1074428,-33.20493702,151.5481819,pd135bc30
Melaleuca quinquenervia,NSW1074428,-33.2049692,151.5481722,pd135bc30
Melaleuca quinquenervia,NSW1074423,-33.2049692,151.5481722,pd135bc30
Melaleuca quinquenervia,NSW1074429,-33.20594131,151.5485014,pd135bc30
Melaleuca quinquenervia,NSW1074458,-33.2087521,151.5499654,pd135bc30
Melaleuca quinquenervia,NSW1079687,-33.20875621,151.5500155,pd135bc30
Melaleuca quinquenervia,NSW1079675,-33.21130892,151.5512911,pd135bc30
Melaleuca quinquenervia,NSW1079712,-33.2118398,151.5518817,pd135bc30
Melaleuca quinquenervia,NSW1079707,-33.21065443,151.5512577,pd135bc30
Melaleuca quinquenervia,NSW1079717,-33.20923622,151.5524043,pd135bc30
Melaleuca quinquenervia,NSW1079702,-33.21041547,151.5512684,pd135bc30
Melaleuca quinquenervia,NSW1079702,-32.75007599,152.1210819,p9c3c9590
Melaleuca quinquenervia,NSW1079658,-32.75007599,152.1210819,p9c3c9590
Melaleuca quinquenervia,NSW1079703,-32.74896662,152.1212028,p9c3c9590
Melaleuca quinquenervia,NSW1079709,-32.74897577,152.1211969,p9c3c9590
Melaleuca quinquenervia,NSW1079708,-32.748032,152.1212337,p9c3c9590
Melaleuca quinquenervia,NSW1079697,-32.74757274,152.1213281,p9c3c9590
Melaleuca quinquenervia,NSW1079713,-32.75081717,152.1217409,p9c3c9590
Melaleuca quinquenervia,NSW1079718,-32.75083052,152.1217611,p9c3c9590
Melaleuca quinquenervia,NSW1079723,-32.75014513,152.1239062,p9c3c9590
Melaleuca quinquenervia,NSW1079692,-32.75247506,152.1225791,p9c3c9590
Melaleuca quinquenervia,NSW1079728,-32.75247562,152.1225817,p9c3c9590
Melaleuca quinquenervia,NSW1079733,-32.58106381,152.2854511,p72bbeb40
Melaleuca quinquenervia,NSW1079722,-32.58144257,152.2852374,p72bbeb40
Melaleuca quinquenervia,NSW1079722,-32.58144257,152.2852374,p72bbeb40
Melaleuca quinquenervia,NSW1079719,-32.58144257,152.2852374,p72bbeb40
Melaleuca quinquenervia,NSW1079714,-32.58144257,152.2852374,p72bbeb40
Melaleuca quinquenervia,NSW1079727,-32.58364896,152.2830206,p72bbeb40
Melaleuca quinquenervia,NSW1079724,-32.58366008,152.2830159,p72bbeb40
Melaleuca quinquenervia,NSW1079729,-32.58534845,152.281299,p72bbeb40
Melaleuca quinquenervia,NSW1079737,-32.59188917,152.2724035,p72bbeb40
Melaleuca quinquenervia,NSW1079734,-32.59184361,152.272363,p72bbeb40
Melaleuca quinquenervia,NSW1079715,-32.59141373,152.2735029,p72bbeb40
Melaleuca quinquenervia,NSW1079720,-32.40380819,152.4554997,p72bbeb40
Melaleuca quinquenervia,NSW1079691,-32.40388962,152.4558823,p72bbeb40
Melaleuca quinquenervia,NSW1079732,-32.40455719,152.4550025,p72bbeb40
Melaleuca quinquenervia,NSW1079725,-32.40455938,152.4550092,p72bbeb40
Melaleuca quinquenervia,NSW1079686,-32.40612129,152.452775,p72bbeb40
Melaleuca quinquenervia,NSW1079696,-32.40652495,152.4517557,p72bbeb40
Melaleuca quinquenervia,NSW1079696,-32.40652495,152.4517557,p72bbeb40
Melaleuca quinquenervia,NSW1079701,-32.40648032,152.4517494,p72bbeb40
Melaleuca quinquenervia,NSW1079710,-32.40498167,152.4498453,p72bbeb40
Melaleuca quinquenervia,NSW1079730,-32.40517351,152.4501677,p72bbeb40
Melaleuca quinquenervia,NSW1079711,-32.39118881,152.4519771,p72bbeb40
Melaleuca quinquenervia,NSW1079773,-32.25249922,152.5306496,pbb515550
Melaleuca quinquenervia,NSW1079778,-32.25249091,152.5306509,pbb515550
Melaleuca quinquenervia,NSW1079706,-32.25345377,152.5341452,pbb515550
Melaleuca quinquenervia,NSW1079706,-32.25345377,152.5341452,pbb515550
Melaleuca quinquenervia,NSW1079705,-32.253502,152.5345676,pbb515550
Melaleuca quinquenervia,NSW1079768,-32.25129137,152.5365557,pbb515550
Melaleuca quinquenervia,NSW1079758,-32.25109093,152.5364798,pbb515550
Melaleuca quinquenervia,NSW1079744,-32.25109305,152.5364718,pbb515550
Melaleuca quinquenervia,NSW1079753,-32.25012837,152.5368438,pbb515550
Melaleuca quinquenervia,NSW1079748,-32.25015074,152.5368591,pbb515550
Melaleuca quinquenervia,NSW1079740,-32.24914199,152.5377314,pbb515550
Melaleuca quinquenervia,NSW1079736,-31.71824925,152.7925521,pa9710de0
Melaleuca quinquenervia,NSW1079735,-31.71631504,152.7916554,pa9710de0
Melaleuca quinquenervia,NSW1079731,-31.71631709,152.791639,pa9710de0
Melaleuca quinquenervia,NSW1079731,-31.71631709,152.791639,pa9710de0
Melaleuca quinquenervia,NSW1079743,-31.71505587,152.7912195,pa9710de0
Melaleuca quinquenervia,NSW1079763,-31.70962811,152.789829,pa9710de0
Melaleuca quinquenervia,NSW1079726,-31.70961823,152.7898261,pa9710de0
Melaleuca quinquenervia,NSW1079721,-31.69967177,152.7908758,pa9710de0
Melaleuca quinquenervia,NSW1079716,-31.69863613,152.791601,pa9710de0
Melaleuca quinquenervia,NSW1079739,-31.69862089,152.7916118,pa9710de0
Melaleuca quinquenervia,NSW1079738,-31.68884571,152.7937629,pa9710de0
Melaleuca quinquenervia,NSW1079822,-31.68554497,152.7971721,pa9710de0
Melaleuca quinquenervia,NSW1079821,-31.68235956,152.8002216,pa9710de0
Melaleuca quinquenervia,NSW1079783,-31.05007697,153.0415239,p831064a0
Melaleuca quinquenervia,NSW1079783,-31.05007697,153.0415239,p831064a0
Melaleuca quinquenervia,NSW1079788,-31.04981504,153.0406556,p831064a0
Melaleuca quinquenervia,NSW1079747,-31.0495524,153.03983,p831064a0
Melaleuca quinquenervia,NSW1079793,-31.0492059,153.0393076,p831064a0
Melaleuca quinquenervia,NSW1079798,-31.04851124,153.0380382,p831064a0
Melaleuca quinquenervia,NSW1079803,-31.02313825,153.0207133,p831064a0
Melaleuca quinquenervia,NSW1079808,-31.02977903,153.0255807,p831064a0
Melaleuca quinquenervia,NSW1079752,-31.03003889,153.0250251,p831064a0
Melaleuca quinquenervia,NSW1079813,-31.03043342,153.0241479,p831064a0
Melaleuca quinquenervia,NSW1079818,-31.03060077,153.0237167,p831064a0
Homalanthus populifolius,NSW1079754,-30.42136993,153.0313893,p9e6cdbc0
Homalanthus populifolius,NSW1079757,-30.42156619,153.0321728,p9e6cdbc0
Homalanthus populifolius,NSW1079759,-30.42177353,153.0324678,p9e6cdbc0
Homalanthus populifolius,NSW1079749,-30.42227672,153.0328602,p9e6cdbc0
Homalanthus populifolius,NSW1079764,-30.42081243,153.030568,p9e6cdbc0
Homalanthus populifolius,NSW1079769,-30.4203424,153.0299753,p9e6cdbc0
Homalanthus populifolius,NSW1079769,-30.4203424,153.0299753,p9e6cdbc0
Melaleuca quinquenervia,NSW1079774,-31.33241514,152.9565065,pe59c2ef0
Melaleuca quinquenervia,NSW1079774,-31.33168946,152.9570097,pe59c2ef0
Melaleuca quinquenervia,NSW1079746,-31.33168946,152.9570097,pe59c2ef0
Melaleuca quinquenervia,NSW1079741,-31.33082294,152.9575479,pe59c2ef0
Melaleuca quinquenervia,NSW1079751,-31.33080433,152.9575655,pe59c2ef0
Melaleuca quinquenervia,NSW1079756,-31.32818962,152.9589881,pe59c2ef0
Melaleuca quinquenervia,NSW1079761,-31.32815482,152.9590002,pe59c2ef0
Melaleuca quinquenervia,NSW1079779,-31.31946985,152.9668781,pe59c2ef0
Melaleuca quinquenervia,NSW1079762,-31.3139559,152.9694803,pe59c2ef0
Melaleuca quinquenervia,NSW1079765,-31.31318018,152.9667334,pe59c2ef0
Melaleuca quinquenervia,NSW1079766,-31.30981403,152.9633359,pe59c2ef0
Melaleuca quinquenervia,NSW1079799,-31.30753143,152.9627998,pe59c2ef0
Melaleuca quinquenervia,NSW1079767,-31.30749914,152.9628195,pe59c2ef0
Melaleuca quinquenervia,NSW1079784,-31.49350321,152.9038629,pb9a5aec0
Melaleuca quinquenervia,NSW1079789,-31.49418374,152.9035492,pb9a5aec0
Melaleuca quinquenervia,NSW1079794,-31.49420354,152.9035574,pb9a5aec0
Melaleuca quinquenervia,NSW1079794,-31.49420354,152.9035574,pb9a5aec0
Melaleuca quinquenervia,NSW1079804,-31.49540748,152.9030448,pb9a5aec0
Melaleuca quinquenervia,NSW1079814,-31.49585756,152.9025959,pb9a5aec0
Melaleuca quinquenervia,NSW1079819,-31.49680026,152.9023225,pb9a5aec0
Melaleuca quinquenervia,NSW1079745,-31.49982136,152.9005251,pb9a5aec0
Melaleuca quinquenervia,NSW1079755,-31.50046378,152.8997506,pb9a5aec0
Melaleuca quinquenervia,NSW1079750,-31.50047217,152.8997563,pb9a5aec0
Melaleuca quinquenervia,NSW1079760,-31.50147069,152.8986933,pb9a5aec0
Melaleuca quinquenervia,NSW1079809,-31.50223666,152.8982914,pb9a5aec0
Melaleuca quinquenervia,NSW1079772,-31.50224463,152.8982869,pb9a5aec0
Melaleuca quinquenervia,NSW1074329,-31.25654649,152.9661873,p93a6ddc0
Melaleuca quinquenervia,NSW1074329,-31.25654649,152.9661873,p93a6ddc0
Melaleuca quinquenervia,NSW1071113,-31.25563895,152.9663093,p93a6ddc0
Melaleuca quinquenervia,NSW1071118,-31.25555562,152.9661151,p93a6ddc0
Melaleuca quinquenervia,NSW1074334,-31.25437969,152.966154,p93a6ddc0
Melaleuca quinquenervia,NSW1074339,-31.25441977,152.9661785,p93a6ddc0
Melaleuca quinquenervia,NSW1071115,-31.1977717,152.9681876,p93a6ddc0
Melaleuca quinquenervia,NSW1071070,-31.19779728,152.9682061,p93a6ddc0
Melaleuca quinquenervia,NSW1071110,-31.1994082,152.9677057,p93a6ddc0
Melaleuca quinquenervia,NSW1071090,-28.47684672,153.5464416,p666c7140
Melaleuca quinquenervia,NSW1071090,-28.47684672,153.5464416,p666c7140
Melaleuca quinquenervia,NSW1071133,-28.47766614,153.5453788,p666c7140
Melaleuca quinquenervia,NSW1071128,-28.47762564,153.5453594,p666c7140
Melaleuca quinquenervia,NSW1078653,-28.47786231,153.5446269,p666c7140
Melaleuca quinquenervia,NSW1078636,-28.4782849,153.5417933,p666c7140
Melaleuca quinquenervia,NSW1078641,-28.60516753,153.5740332,p328a8440
Melaleuca quinquenervia,NSW1078641,-28.60516753,153.5740332,p328a8440
Melaleuca quinquenervia,NSW1071123,-28.60559014,153.5734019,p328a8440
Melaleuca quinquenervia,NSW1078645,-28.60557577,153.5734272,p328a8440
Melaleuca quinquenervia,NSW1071075,-28.60642035,153.5706189,p328a8440
Melaleuca quinquenervia,NSW1071080,-28.60644177,153.5706227,p328a8440
Melaleuca quinquenervia,NSW1078646,-28.60695352,153.569276,p328a8440
Melaleuca quinquenervia,NSW1078640,-28.60778531,153.5666941,p328a8440
Melaleuca quinquenervia,NSW1078642,-28.6080735,153.5637864,p328a8440
Melaleuca quinquenervia,NSW1078637,-28.60431562,153.5739177,p328a8440
Melaleuca quinquenervia,NSW1071143,-28.6042916,153.5739313,p328a8440
Melaleuca quinquenervia,NSW1071143,-28.64923983,153.6220029,p1bff81d0
Melaleuca quinquenervia,NSW1078647,-28.64923983,153.6220029,p1bff81d0
Melaleuca quinquenervia,NSW1078651,-28.6482238,153.6235341,p1bff81d0
Melaleuca quinquenervia,NSW1078713,-28.64745043,153.6250369,p1bff81d0
Melaleuca quinquenervia,NSW1078654,-28.64620153,153.6274689,p1bff81d0
Melaleuca quinquenervia,NSW1078652,-28.64861633,153.6235516,p1bff81d0
Melaleuca quinquenervia,NSW1078656,-28.64852792,153.6242193,p1bff81d0
Melaleuca quinquenervia,NSW1078658,-28.64850763,153.6242216,p1bff81d0
Melaleuca quinquenervia,NSW1078657,-28.64858659,153.6250671,p1bff81d0
Melaleuca quinquenervia,NSW1078660,-28.64858147,153.6250711,p1bff81d0
Melaleuca quinquenervia,NSW1078662,-28.64885647,153.6259881,p1bff81d0
Melaleuca quinquenervia,NSW1078662,-29.85196215,153.2605053,p8a9b6b20
Melaleuca quinquenervia,NSW1074318,-29.85196215,153.2605053,p8a9b6b20
Melaleuca quinquenervia,NSW1080781,-29.85200872,153.2619853,p8a9b6b20
Melaleuca quinquenervia,NSW1080782,-29.8522382,153.262396,p8a9b6b20
Melaleuca quinquenervia,NSW1080766,-29.85212664,153.2629126,p8a9b6b20
Melaleuca quinquenervia,NSW1080784,-29.85248481,153.2632438,p8a9b6b20
Melaleuca quinquenervia,NSW1080764,-29.85198428,153.2637667,p8a9b6b20
Melaleuca quinquenervia,NSW1080779,-29.85293715,153.2701373,p8a9b6b20
Melaleuca quinquenervia,NSW1080778,-29.85293685,153.2701393,p8a9b6b20
Melaleuca quinquenervia,NSW1080787,-29.85197584,153.2709461,p8a9b6b20
Melaleuca quinquenervia,NSW1080777,-29.85199418,153.2709712,p8a9b6b20
Melaleuca quinquenervia,NSW1080786,-29.85176414,153.26967,p8a9b6b20
Melaleuca quinquenervia,NSW1080785,-29.85176757,153.2696437,p8a9b6b20
Melaleuca quinquenervia,NSW1080785,-30.03477256,153.1975396,p60668f30
Melaleuca quinquenervia,NSW1080773,-30.03477256,153.1975396,p60668f30
Melaleuca quinquenervia,NSW1080774,-30.03558083,153.1972502,p60668f30
Melaleuca quinquenervia,NSW1080768,-30.03595822,153.1971047,p60668f30
Melaleuca quinquenervia,NSW1080770,-30.0364465,153.1972212,p60668f30
Melaleuca quinquenervia,NSW1080769,-30.03644305,153.1972206,p60668f30
Melaleuca quinquenervia,NSW1080775,-30.03464414,153.1976471,p60668f30
Melaleuca quinquenervia,NSW1080765,-30.03709778,153.1968916,p60668f30
Melaleuca quinquenervia,NSW1080776,-30.03812084,153.1965746,p60668f30
Melaleuca quinquenervia,NSW1080771,-30.03812797,153.1965677,p60668f30
Melaleuca quinquenervia,NSW1080763,-30.03875313,153.1961878,p60668f30
Melaleuca quinquenervia,NSW1080761,-30.18909784,153.1615165,pb659e150
Melaleuca quinquenervia,NSW1080758,-30.18909914,153.1615232,pb659e150
Melaleuca quinquenervia,NSW1080780,-30.18916854,153.1616169,pb659e150
Melaleuca quinquenervia,NSW1071148,-30.18909682,153.1615244,pb659e150
Melaleuca quinquenervia,NSW1080767,-30.18913757,153.1614909,pb659e150
Melaleuca quinquenervia,NSW1080772,-30.18911622,153.1615077,pb659e150
Melaleuca quinquenervia,NSW1071138,-30.18978066,153.1635112,pb659e150
Melaleuca quinquenervia,NSW1080759,-30.17570688,153.1868368,pb659e150
Melaleuca quinquenervia,NSW1074398,-30.17570688,153.1868368,pb659e150
Melaleuca quinquenervia,NSW1080762,-30.19164058,153.1644314,pb659e150
Melaleuca quinquenervia,NSW1080762,-30.19164058,153.1644314,pb659e150