Sample Number,Well Location,plate,Sample Name,BOX,ROW,COLUMN,Concentration ng/ul
476,D12,5,1118,5,8,F,6.68
477,E12,5,151,5,8,G,6.68
478,F12,5,1390,5,8,H,8.49
479,G12,5,297,5,8,I,8.63
480,H12,5,2335,5,8,J,6.35
481,A01,6,879,5,9,A,7.55
482,B01,6,662,5,9,B,7.7
483,C01,6,591,5,9,C,7.81
484,D01,6,2326,5,9,D,9.72
485,E01,6,2124,5,9,E,5.29
486,F01,6,1395,5,9,F,6.21
487,G01,6,528,5,9,G,7.7
488,H01,6,1971,5,9,H,9.68
489,A02,6,1179,5,9,I,6.39
490,B02,6,1467,5,9,J,5.51
491,C02,6,1678,5,10,A,10.2
492,D02,6,706,5,10,B,7.5
493,E02,6,509,5,10,C,6.33
494,F02,6,2225,5,10,D,9.78
495,G02,6,1651,5,10,E,8.03
496,H02,6,2138,5,10,F,6.89
497,A03,6,629,5,10,G,7.26
498,B03,6,1834,5,10,H,4.58
499,C03,6,2296,5,10,I,5.38
500,D03,6,1093,5,10,J,4.79
501,E03,6,1532,6,1,A,3.25
502,F03,6,2038,6,1,B,4.99
503,G03,6,469,6,1,C,4.47
504,H03,6,1210,6,1,D,5.66
505,A04,6,685,6,1,E,3.91
506,B04,6,2157,6,1,F,5.45
507,C04,6,1,6,1,G,7.63
508,D04,6,41,6,1,H,7.86
509,E04,6,1412,6,1,I,8.44
510,F04,6,1405,6,1,J,7.39
511,G04,6,1956,6,2,A,7.96
512,H04,6,758,6,2,B,6.49
513,A05,6,2195,6,2,C,4.8
514,B05,6,674,6,2,D,7.49
515,C05,6,407,6,2,E,8.51
516,D05,6,1374,6,2,F,6.24
517,E05,6,1247,6,2,G,3.21
518,F05,6,2120,6,2,H,6.52
519,G05,6,450,6,2,I,6.17
520,H05,6,712,6,2,J,6.11
521,A06,6,334,6,3,A,7.03
522,B06,6,228,6,3,B,6.43
523,C06,6,1020,6,3,C,9.15
524,D06,6,406,6,3,D,5.68
525,E06,6,1691,6,3,E,5.63
526,F06,6,646,6,3,F,5.4
527,G06,6,1660,6,3,G,6.36
528,H06,6,1010,6,3,H,8.17
529,A07,6,1013,6,3,I,5.13
530,B07,6,1287,6,3,J,5.25
531,C07,6,2387,6,4,A,9.27
532,D07,6,1811,6,4,B,6.51
533,E07,6,565,6,4,C,8.06
534,F07,6,1012,6,4,D,3.96
535,G07,6,844,6,4,E,3.65
536,H07,6,32,6,4,F,4.89
537,A08,6,1831,6,4,G,4.51
538,B08,6,2108,6,4,H,4.75
539,C08,6,2039,6,4,I,7.1
540,D08,6,1828,6,4,J,6.98
541,E08,6,43,6,5,A,7.19
542,F08,6,2285,6,5,B,3.63
543,G08,6,1138,6,5,C,6.55
544,H08,6,344,6,5,D,9.95
545,A09,6,1154,6,5,E,7.43
546,B09,6,154,6,5,F,6.32
547,C09,6,125,6,5,G,6.89
548,D09,6,1289,6,5,H,7.05
549,E09,6,567,6,5,I,8.49
550,F09,6,2397,6,5,J,8.95
551,G09,6,1076,6,6,A,2.87
552,H09,6,1604,6,6,B,8.43
553,A10,6,10,6,6,C,5.86
554,B10,6,63,6,6,D,4.26
555,C10,6,1462,6,6,E,6.35
556,D10,6,1735,6,6,F,4.68
557,E10,6,762,6,6,G,5.64
558,F10,6,856,6,6,H,2.45
559,G10,6,1675,6,6,I,6.36
560,H10,6,397,6,6,J,5.93
561,A11,6,210,6,7,A,8.93
562,B11,6,640,6,7,B,5.93
563,C11,6,328,6,7,C,6.91
564,D11,6,1824,6,7,D,5.51
565,E11,6,656,6,7,E,5.73
566,F11,6,302,6,7,F,11.19
567,G11,6,1308,6,7,G,4.37
568,H11,6,1946,6,7,H,6.56
569,A12,6,1552,6,7,I,5.45
570,B12,6,1871,6,7,J,10.54
571,C12,6,2075,6,8,A,5.58
572,D12,6,141,6,8,B,6.26
573,E12,6,2277,6,8,C,4.14
574,F12,6,159,6,8,D,3.83
575,G12,6,2098,6,8,E,6.42
576,H12,6,274,6,8,F,4.78
577,A01,7,1296,6,8,G,3.79
578,B01,7,1120,6,8,H,6.13
579,C01,7,2360,6,8,I,6.3
580,D01,7,1879,6,8,J,5.72
581,E01,7,2385,6,9,A,5.66
582,F01,7,790,6,9,B,8.12
583,G01,7,99,6,9,C,6.47
584,H01,7,1600,6,9,D,3.25
585,A02,7,1846,6,9,E,4.86
586,B02,7,1009,6,9,F,1.23
587,C02,7,1025,6,9,G,10.41
588,D02,7,1290,6,9,H,6.67
589,E02,7,1614,6,9,I,3.74
590,F02,7,61,6,9,J,8.59
591,G02,7,149,6,10,A,4.35
592,H02,7,1999,6,10,B,3.9
593,A03,7,1164,6,10,C,1.68
594,B03,7,1605,6,10,D,1.25
595,C03,7,2391,6,10,E,0.77
596,D03,7,2324,6,10,F,0.95
597,E03,7,1981,6,10,G,8.47
598,F03,7,1255,6,10,H,7.19
599,G03,7,599,6,10,I,1.03
600,H03,7,1784,6,10,J,4.78
601,A04,7,518,7,1,A,1.75
602,B04,7,544,7,1,B,9.64
603,C04,7,982,7,1,C,6.67
604,D04,7,1820,7,1,D,8.05
605,E04,7,987,7,1,E,7.1
606,F04,7,379,7,1,F,1.27
607,G04,7,1256,7,1,G,5.65
608,H04,7,1849,7,1,H,5.96
609,A05,7,1827,7,1,I,3.2
610,B05,7,429,7,1,J,0.92
611,C05,7,1129,7,2,A,4.05
612,D05,7,519,7,2,B,1.03
613,E05,7,1294,7,2,C,5.22
614,F05,7,127,7,2,D,0.56
615,G05,7,717,7,2,E,4.33
616,H05,7,1627,7,2,F,4.03
617,A06,7,1609,7,2,G,4.58
618,B06,7,2290,7,2,H,6.25
619,C06,7,1409,7,2,I,6.7
620,D06,7,559,7,2,J,3.26
621,E06,7,187,7,3,A,4.1
622,F06,7,1632,7,3,B,3.93
623,G06,7,507,7,3,C,6.94
624,H06,7,1415,7,3,D,3.39
625,A07,7,497,7,3,E,3.86
626,B07,7,542,7,3,F,4.79
627,C07,7,2197,7,3,G,5.02
628,D07,7,2051,7,3,H,3.72
629,E07,7,1493,7,3,I,4.32
630,F07,7,1215,7,3,J,5.79
631,G07,7,2068,7,4,A,5.2
632,H07,7,805,7,4,B,5.62
633,A08,7,500,7,4,C,4.11
634,B08,7,1484,7,4,D,5.53
635,C08,7,988,7,4,E,4.17
636,D08,7,718,7,4,F,6.48
637,E08,7,1309,7,4,G,5.4
638,F08,7,1019,7,4,H,3.9
639,G08,7,1189,7,4,I,4.31
640,H08,7,882,7,4,J,4.85
641,A09,7,1876,7,5,A,3.75
642,B09,7,2065,7,5,B,4.18
643,C09,7,2043,7,5,C,3.34
644,D09,7,986,7,5,D,6.66
645,E09,7,1830,7,5,E,6.34
646,F09,7,380,7,5,F,5.22
647,G09,7,1544,7,5,G,5.48
648,H09,7,1147,7,5,H,4.51
649,A10,7,973,7,5,I,1.43
650,B10,7,1284,7,5,J,4.58
651,C10,7,2220,7,6,A,6.4
652,D10,7,2136,7,6,B,5.72
653,E10,7,1432,7,6,C,3.01
654,F10,7,2345,7,6,D,5.62
655,G10,7,1027,7,6,E,4.71
656,H10,7,2101,7,6,F,2.26
657,A11,7,2331,7,6,G,1.56
658,B11,7,1719,7,6,H,4.76
659,C11,7,134,7,6,I,2.35
660,D11,7,94,7,6,J,5.98
661,E11,7,625,7,7,A,2.13
662,F11,7,1489,7,7,B,9.53
663,G11,7,1530,7,7,C,1.89
664,H11,7,1821,7,7,D,5.9
665,A12,7,1718,7,7,E,1.26
666,B12,7,36,7,7,F,3.83
667,C12,7,1334,7,7,G,5.48
668,D12,7,1703,7,7,H,4.4
669,E12,7,2030,7,7,I,3.77
670,F12,7,2363,7,7,J,3.51
671,G12,7,1613,7,8,A,2.8
672,H12,7,193,7,8,B,2.27
673,A01,8,1814,7,8,C,4.41
674,B01,8,530,7,8,D,5.88
675,C01,8,866,7,8,E,2.53
676,D01,8,1795,7,8,F,5.83
677,E01,8,937,7,8,G,4.83
678,F01,8,1647,7,8,H,4.68
679,G01,8,698,7,8,I,5.71
680,H01,8,948,7,8,J,8.09
681,A02,8,1681,7,9,A,6.97
682,B02,8,1006,7,9,B,6.07
683,C02,8,2357,7,9,C,1.84
684,D02,8,259,7,9,D,4.74
685,E02,8,1446,7,9,E,3.63
686,F02,8,2334,7,9,F,4.39
687,G02,8,1920,7,9,G,2.83
688,H02,8,795,7,9,H,3.62
689,A03,8,1048,7,9,I,2.97
690,B03,8,395,7,9,J,4.72
691,C03,8,2111,7,10,A,4.24
692,D03,8,62,7,10,B,3.25
693,E03,8,2190,7,10,C,5.89
694,F03,8,1959,7,10,D,4.43
695,G03,8,133,7,10,E,3.41
696,H03,8,611,7,10,F,1.33
697,A04,8,1373,7,10,G,5.27
698,B04,8,1396,7,10,H,4.1
699,C04,8,163,7,10,I,4.63
700,D04,8,563,7,10,J,5.45
701,E04,8,742,8,1,A,7.29
702,F04,8,1612,8,1,B,4.62
703,G04,8,2018,8,1,C,2.7
704,H04,8,1710,8,1,D,4.63
705,A05,8,534,8,1,E,3.7
706,B05,8,1156,8,1,F,0.72
707,C05,8,1862,8,1,G,4.85
708,D05,8,819,8,1,H,3.08
709,E05,8,155,8,1,I,8.73
710,F05,8,1340,8,1,J,8.33
711,G05,8,1662,8,2,A,6.29
712,H05,8,1570,8,2,B,5.23
713,A06,8,953,8,2,C,1.02
714,B06,8,131,8,2,D,4.79
715,C06,8,2113,8,2,E,4.57
716,D06,8,1963,8,2,F,6.07
717,E06,8,253,8,2,G,7.43
718,F06,8,735,8,2,H,4.1
719,G06,8,832,8,2,I,4.4
720,H06,8,1717,8,2,J,3.95
721,A07,8,523,8,3,A,2.31
722,B07,8,2295,8,3,B,4.57
723,C07,8,514,8,3,C,4.51
724,D07,8,834,8,3,D,3.65
725,E07,8,179,8,3,E,4.97
726,F07,8,8,8,3,F,2.33
727,G07,8,1422,8,3,G,3.9
728,H07,8,1641,8,3,H,2.63
729,A08,8,1720,8,3,I,2.08
730,B08,8,1645,8,3,J,2.4
731,C08,8,1163,8,4,A,0.3
732,D08,8,145,8,4,B,2.09
733,E08,8,1657,8,4,C,1.54
734,F08,8,2301,8,4,D,1.88
735,G08,8,15,8,4,E,0.37
736,H08,8,1217,8,4,F,3.01
737,A09,8,123,8,4,G,3.7
738,B09,8,644,8,4,H,5.95
739,C09,8,2267,8,4,I,2.96
740,D09,8,97,8,4,J,5.13
741,E09,8,2,8,5,A,6.74
742,F09,8,2159,8,5,B,3.46
743,G09,8,45,8,5,C,3.04
744,H09,8,1517,8,5,D,3.77
745,A10,8,283,8,5,E,2.9
746,B10,8,49,8,5,F,2.97
747,C10,8,2321,8,5,G,4.42
748,D10,8,2279,8,5,H,4.97
749,E10,8,645,8,5,I,3.87
750,F10,8,1836,8,5,J,4.88
751,G10,8,361,8,6,A,4.2
752,H10,8,1937,8,6,B,2.04
753,A11,8,1478,8,6,C,4.43
754,B11,8,488,8,6,D,7.05
755,C11,8,1380,8,6,E,4.29
756,D11,8,2131,8,6,F,5.06
757,E11,8,1433,8,6,G,5.57
758,F11,8,1708,8,6,H,3.27
759,G11,8,1778,8,6,I,3.06
760,H11,8,1901,8,6,J,1.27
761,A12,8,1225,8,7,A,3.51
762,B12,8,801,8,7,B,2.67
763,C12,8,2106,8,7,C,2.98
764,D12,8,2381,8,7,D,3.33
765,E12,8,1522,8,7,E,5.31
766,F12,8,1438,8,7,F,6.48
767,G12,8,1535,8,7,G,3.04
768,H12,8,2229,8,7,H,5.13
769,A01,9,68,8,7,I,5.03
770,B01,9,1598,8,7,J,14.46
771,C01,9,2340,8,8,A,3.43
772,D01,9,71,8,8,B,5.6
773,E01,9,1940,8,8,C,15.84
774,F01,9,1547,8,8,D,5.37
775,G01,9,1436,8,8,E,10.32
776,H01,9,1473,8,8,F,0.78
777,A02,9,2308,8,8,G,1.18
778,B02,9,1579,8,8,H,5.39
779,C02,9,1529,8,8,I,6.01
780,D02,9,954,8,8,J,2.83
781,E02,9,635,8,9,A,7.6
782,F02,9,1205,8,9,B,4.53
783,G02,9,2300,8,9,C,7.38
784,H02,9,90,8,9,D,2.96
785,A03,9,649,8,9,E,1.3
786,B03,9,638,8,9,F,4.32
787,C03,9,2032,8,9,G,0.81
788,D03,9,1280,8,9,H,2.73
789,E03,9,1411,8,9,I,0.98
790,F03,9,1732,8,9,J,2.42
791,G03,9,266,8,10,A,3.87
792,H03,9,535,8,10,B,3.77
793,A04,9,57,8,10,C,0.76
794,B04,9,736,8,10,D,1.13
795,C04,9,218,8,10,E,2.88
796,D04,9,1908,8,10,F,3.42
797,E04,9,1873,8,10,G,3.45
798,F04,9,1155,8,10,H,1.51
799,G04,9,475,8,10,I,4.49
800,H04,9,1916,8,10,J,1.13
801,A05,9,1297,9,1,A,2.79
802,B05,9,512,9,1,B,3.54
803,C05,9,2183,9,1,C,4.39
804,D05,9,628,9,1,D,3.33
805,E05,9,2305,9,1,E,2.07
806,F05,9,2218,9,1,F,5.14
807,G05,9,1815,9,1,G,2.49
808,H05,9,195,9,1,H,2.3
809,A06,9,1421,9,1,I,2.14
810,B06,9,387,9,1,J,0.95
811,C06,9,25,9,2,A,0.68
812,D06,9,1444,9,2,B,0.72
813,E06,9,1729,9,2,C,2.95
814,F06,9,98,9,2,D,1.04
815,G06,9,1523,9,2,E,0.74
816,H06,9,2352,9,2,F,0.83
817,A07,9,55,9,2,G,0.78
818,B07,9,1429,9,2,H,0.82
819,C07,9,2158,9,2,I,3.36
820,D07,9,686,9,2,J,4.48
821,E07,9,2215,9,3,A,3.55
822,F07,9,152,9,3,B,3.24
823,G07,9,2393,9,3,C,5.26
824,H07,9,1092,9,3,D,3.55
825,A08,9,1626,9,3,E,2.88
826,B08,9,2306,9,3,F,2.63
827,C08,9,2325,9,3,G,1.24
828,D08,9,136,9,3,H,2.21
829,E08,9,1788,9,3,I,5.4
830,F08,9,1954,9,3,J,5.34
831,G08,9,1016,9,4,A,0.55
832,H08,9,2315,9,4,B,0.39
833,A09,9,1726,9,4,C,10.15
834,B09,9,1867,9,4,D,2.25
835,C09,9,1302,9,4,E,5.96
836,D09,9,1997,9,4,F,4.68
837,E09,9,659,9,4,G,4.68
838,F09,9,401,9,4,H,4.29
839,G09,9,703,9,4,I,5.7
840,H09,9,1664,9,4,J,3.13
841,A10,9,1566,9,5,A,1.04
842,B10,9,375,9,5,B,3.27
843,C10,9,1777,9,5,C,1.11
844,D10,9,2182,9,5,D,1.1
845,E10,9,1291,9,5,E,6.13
846,F10,9,1111,9,5,F,1.04
847,G10,9,1515,9,5,G,0.51
848,H10,9,2312,9,5,H,0.92
849,A11,9,233,9,5,I,1.22
850,B11,9,734,9,5,J,2.95
851,C11,9,1982,9,6,A,1.23
852,D11,9,648,9,6,B,3.67
853,E11,9,872,9,6,C,1.9
854,F11,9,1734,9,6,D,0.83
855,G11,9,835,9,6,E,1.65
856,H11,9,2199,9,6,F,0.92
857,A12,9,336,9,6,G,3.19
858,B12,9,340,9,6,H,1.2
859,C12,9,1064,9,6,I,1.93
860,D12,9,1285,9,6,J,3.89
861,E12,9,626,9,7,A,8.84
862,F12,9,585,9,7,B,3.32
863,G12,9,442,9,7,C,5.87
864,H12,9,2011,9,7,D,3.35
865,A01,10,1861,9,7,E,2.9
866,B01,10,1479,9,7,F,9.98
867,C01,10,1823,9,7,G,8.29
868,D01,10,2162,9,7,H,8.46
869,E01,10,2076,9,7,I,7.9
870,F01,10,2080,9,7,J,6.58
871,G01,10,113,9,8,A,2.63
872,H01,10,826,9,8,B,8.2
873,A02,10,2149,9,8,C,5.74
874,B02,10,1413,9,8,D,3.71
875,C02,10,2177,9,8,E,13.43
876,D02,10,377,9,8,F,11.89
877,E02,10,1567,9,8,G,10.12
878,F02,10,1800,9,8,H,10.56
879,G02,10,101,9,8,I,11.98
880,H02,10,2130,9,8,J,6.58
881,A03,10,1408,9,9,A,5.56
882,B03,10,2029,9,9,B,5.86
883,C03,10,969,9,9,C,18.03
884,D03,10,517,9,9,D,7.19
885,E03,10,1934,9,9,E,10.82
886,F03,10,861,9,9,F,23.4
887,G03,10,1910,9,9,G,7.5
888,H03,10,229,9,9,H,13.67
889,A04,10,1499,9,9,I,16.61
890,B04,10,1330,9,9,J,15.3
891,C04,10,481,9,10,A,5.49
892,D04,10,339,9,10,B,13.4
893,E04,10,65,9,10,C,16.98
894,F04,10,1125,9,10,D,25.97
895,G04,10,1531,9,10,E,37.11
896,H04,10,289,9,10,F,10.85
897,A05,10,524,9,10,G,5.14
898,B05,10,714,9,10,H,19.47
899,C05,10,2332,9,10,I,18.65
900,D05,10,85,9,10,J,40.5
901,E05,10,189,10,1,A,14.86
902,F05,10,2211,10,1,B,32.88
903,G05,10,256,10,1,C,19.66
904,H05,10,673,10,1,D,3.15
905,A06,10,371,10,1,E,11.55
906,B06,10,932,10,1,F,16.45
907,C06,10,122,10,1,G,19.87
908,D06,10,813,10,1,H,13.7
909,E06,10,1780,10,1,I,15.67
910,F06,10,295,10,1,J,30.84
911,G06,10,2198,10,2,A,19.32
912,H06,10,1747,10,2,B,21.68
913,A07,10,1674,10,2,C,2.22
914,B07,10,837,10,2,D,10.5
915,C07,10,630,10,2,E,11.36
916,D07,10,1001,10,2,F,18.11
917,E07,10,1326,10,2,G,18.51
918,F07,10,2096,10,2,H,5.5
919,G07,10,2362,10,2,I,18.29
920,H07,10,16,10,2,J,26.13
921,A08,10,770,10,3,A,2.05
922,B08,10,772,10,3,B,4.1
923,C08,10,199,10,3,C,9.87
924,D08,10,1140,10,3,D,11.94
925,E08,10,1757,10,3,E,7.38
926,F08,10,385,10,3,F,5.88
927,G08,10,5,10,3,G,4.63
928,H08,10,1443,10,3,H,11.24
929,A09,10,2083,10,3,I,5.94
930,B09,10,1029,10,3,J,14.18
931,C09,10,733,10,4,A,11.34
932,D09,10,2066,10,4,B,11.94
933,E09,10,726,10,4,C,10.47
934,F09,10,961,10,4,D,15.22
935,G09,10,454,10,4,E,11.71
936,H09,10,1202,10,4,F,1.69
937,A10,10,1434,10,4,G,1.5
938,B10,10,1565,10,4,H,7.79
939,C10,10,1004,10,4,I,7.85
940,D10,10,1135,10,4,J,10.28
941,E10,10,2317,10,5,A,7.51
942,F10,10,537,10,5,B,13.36
943,G10,10,1998,10,5,C,13.46
944,H10,10,2233,10,5,D,7.84
945,A11,10,2167,10,5,E,9.22
946,B11,10,2077,10,5,F,17.31
947,C11,10,1393,10,5,G,17.88
948,D11,10,2143,10,5,H,21.06
949,E11,10,2008,10,5,I,4.46
950,F11,10,413,10,5,J,7.17
951,G11,10,631,10,6,A,14.45
952,H11,10,840,10,6,B,3.51
953,A12,10,474,10,6,C,8.4
954,B12,10,1687,10,6,D,9.51
955,C12,10,1603,10,6,E,7.96
956,D12,10,709,10,6,F,10
957,E12,10,764,10,6,G,14.11
958,F12,10,779,10,6,H,7.44
959,G12,10,1213,10,6,I,15.17
960,H12,10,121,10,6,J,2.71
961,A01,11,1021,10,7,A,4.1
962,B01,11,392,10,7,B,5.74
963,C01,11,399,10,7,C,6.75
964,D01,11,1238,10,7,D,8.02
965,E01,11,970,10,7,E,6.08
966,F01,11,2185,10,7,F,5.93
967,G01,11,2144,10,7,G,6.64
968,H01,11,182,10,7,H,4.64
969,A02,11,1524,10,7,I,2.85
970,B02,11,31,10,7,J,7.09
971,C02,11,1377,10,8,A,2.8
972,D02,11,417,10,8,B,3.57
973,E02,11,349,10,8,C,4.3
974,F02,11,992,10,8,D,4.08
975,G02,11,143,10,8,E,5.54
976,H02,11,1243,10,8,F,1.82
977,A03,11,1597,10,8,G,2.39
978,B03,11,2141,10,8,H,3.24
979,C03,11,2153,10,8,I,4.32
980,D03,11,1481,10,8,J,3.88
981,E03,11,2184,10,9,A,5.43
982,F03,11,1551,10,9,B,4.12
983,G03,11,2347,10,9,C,6.36
984,H03,11,479,10,9,D,4.34
985,A04,11,1847,10,9,E,1.78
986,B04,11,1249,10,9,F,2.09
987,C04,11,1961,10,9,G,4.2
988,D04,11,502,10,9,H,6.42
989,E04,11,2311,10,9,I,4.95
990,F04,11,1693,10,9,J,2.9
991,G04,11,1519,10,10,A,4.7
992,H04,11,914,10,10,B,4.97
993,A05,11,886,10,10,C,1.97
994,B05,11,1724,10,10,D,2.45
995,C05,11,493,10,10,E,4.61
996,D05,11,757,10,10,F,0.96
997,E05,11,1859,10,10,G,4.2
998,F05,11,740,10,10,H,4.68
999,G05,11,2383,10,10,I,5.97
1000,H05,11,1564,10,10,J,3.23
